customer_id,store_id,annual_income,monthly_spend,avg_basket_value,marketing_spend,target_sales
1,53,13505.85602,626.2535021,122.0511276,1121.776395,16630.18073
2,69,25139.94636,3976.147378,60.06046474,396.2974111,18305.18723
3,60,131653.0407,17527.93616,93.93234913,520.9713226,21051.34946
4,15,44089.38895,2875.69153,507.3946343,1017.645637,18756.08744
5,59,91147.18529,3009.085363,62.264085,994.5356732,19718.86179
6,99,64673.30452,5812.312003,412.384436,1351.271255,19697.01109
7,22,19216.72656,7064.595035,153.2892587,322.8876095,18254.34675
8,64,62439.42841,43136.28991,133.3640357,258.8587248,20649.68623
9,62,26460.39984,1954.797158,173.3387547,38.13913884,18042.08999
10,42,26307.54039,4502.585384,66.40008809,464.3551016,18399.76644
11,14,40021.3091,10761.28729,303.7424641,-505.4338302,19352.87956
12,77,7895.668473,7358.463009,238.0037014,476.0851778,17248.96895
13,14,119630.8588,1427.322006,415.8304405,313.1930073,19671.38158
14,91,18562.71587,1295.044753,139.338223,243.8371284,17462.50851
15,6,98742.37056,4672.655359,341.2221455,2092.91404,20006.93779
16,95,41619.3767,14635.412,167.0874543,786.4850385,19621.78244
17,28,168052.7302,450.4927312,250.697655,954.1925632,19468.88543
18,39,18770.29012,21738.61012,34.013967,1180.374934,18851.38104
19,34,26587.73089,10557.50143,120.364263,193.7301751,18890.74247
20,91,50907.68261,2833.705335,136.2000258,963.0314967,18939.71523
21,24,3993.92167,19018.87726,192.0570588,146.2217863,16755.06481
22,20,83110.094,36212.80408,197.9422387,560.9171747,20851.67752
23,86,169673.3496,2214.090878,317.7040279,1333.723404,20282.59921
24,40,112061.9131,2920.785659,304.4346714,704.2504917,19905.43036
25,81,77247.48552,1366.667928,183.9863694,659.105539,19117.95429
26,71,31383.01515,12585.80282,50.4122615,222.1827227,19119.65798
27,39,130862.4731,3006.724971,107.3111559,1042.823284,20206.34609
28,38,106301.0691,2426.434425,61.64971262,693.2698102,19851.6374
29,60,53778.05937,1535.080609,64.89659028,188.8090328,18684.37488
30,4,36501.70726,30322.89002,78.91479553,114.8117394,19752.32426
31,77,25291.73971,3112.404464,455.9500432,885.8559931,18148.49378
32,41,10612.28748,3825.891944,76.2685324,432.8053318,17358.90628
33,54,0,4890.747241,111.6807867,237.0680296,20293.14849
34,56,4137.9514,7638.361436,143.0442429,1989.782867,16462.93654
35,98,25080.66863,18489.15444,400.5077337,352.8658358,19058.46623
36,79,42803.71041,10278.67721,66.89508252,225.6679814,19304.77278
37,23,85809.17244,3034.980346,306.5971582,928.9869822,19569.61342
38,84,211432.5336,3220.396833,161.3542908,282.1900742,20837.31253
39,65,0,5264.676452,39.97743373,403.5326423,20113.58002
40,93,27132.25645,7251.535094,244.4771657,284.9279662,18788.38168
41,100,75216.62464,14055.37305,232.4902929,571.9398078,20275.62431
42,38,10284.56682,1837.501562,118.823043,682.1419143,16850.63937
43,29,151742.2333,2708.132562,926.7565337,315.8311,20248.2901
44,23,31055.2972,799.3420534,96.82851018,984.7556563,17755.68799
45,61,18513.22925,4319.158324,203.5362433,195.234854,18031.01573
46,43,19166.89593,1186.217031,110.5625502,1073.510056,17305.20686
47,60,34154.12582,8284.22591,161.4139501,1322.320558,18982.91934
48,76,24519.28127,930.47058,325.3513364,441.0196661,17481.32908
49,64,358581.0331,2796.058627,54.44772304,374.3284698,21282.40985
50,46,17708.83333,8689.442516,276.9084407,1976.103154,18275.49239
51,84,37519.18733,3271.011589,74.18288816,429.9040869,18727.0447
52,60,37348.56971,7560.70886,286.1920973,1526.135797,19126.17782
53,26,37356.8705,6201.005565,133.2880478,429.6721999,19005.37393
54,76,38382.07612,4502.367071,92.54448341,1120.517305,18834.67535
55,74,22436.33769,2091.496552,302.165535,389.1504682,17785.97223
56,9,20263.82386,7552.804555,78.08477602,983.270038,18392.27604
57,81,15334.17839,1532.294412,353.7090424,76.32550874,17162.72726
58,28,8199.474835,17890.18784,174.6754665,630.3880734,17736.11983
59,28,45085.08824,1745.38802,461.5116166,452.7780887,18648.67176
60,1,97185.4561,3903.143828,177.2974768,335.6763382,19940.19086
61,42,21097.62722,5549.461517,531.0883507,380.3123157,18235.69555
62,58,20772.49347,5915.059246,45.78588809,539.8782378,18332.24043
63,88,26463.38003,3057.6512,619.4004833,298.3302459,18086.64915
64,67,22910.72129,7093.149104,298.2440182,102.1900047,18460.83811
65,79,8636.306232,7111.62802,336.8543354,-724.2617473,17300.85788
66,82,142216.8141,736.9670562,74.11433551,397.2243301,19634.99738
67,78,56330.97765,3689.233159,622.2314809,366.0086464,19248.64183
68,12,17824.06827,2967.010702,135.8418421,59.18487171,17810.12412
69,21,48882.35449,17475.31597,108.6795024,168.7433675,19844.63257
70,85,23424.61631,18391.34757,42.36752183,-403.1578837,18952.03877
71,52,29388.61304,7932.232516,139.3140409,368.5997149,18805.71619
72,42,52258.81332,12549.81735,449.2893172,637.9279974,19665.15265
73,2,94180.12885,11617.12423,346.4357491,193.358713,20508.99045
74,81,165963.6603,21366.1386,243.1056219,1187.141608,21442.32393
75,88,199567.8283,12107.20773,94.4532943,63.5463723,21338.12901
76,84,28314.839,17743.29099,45.90748553,508.6491189,19156.51467
77,15,22032.00414,1739.697242,271.8202808,622.7807064,17642.51659
78,20,40118.68649,12680.42773,58.62554064,1433.13711,19507.98386
79,32,41288.66195,1912.04521,79.10802327,786.1462365,18543.98021
80,87,17427.03661,14233.66516,153.3912095,2151.792761,18472.40274
81,40,19526.43977,6675.240651,156.1495752,341.385504,18326.52438
82,72,81901.59302,36950.07131,103.3524587,183.0657682,20831.89383
83,48,187550.0484,3784.014192,376.8189587,1109.212644,20649.99775
84,25,28955.02814,13506.70677,272.8401103,204.3560734,19057.35651
85,83,18996.97033,15305.17641,42.43987721,258.9380455,18646.87703
86,19,27354.29389,5624.590671,298.6116345,483.9849554,18516.82707
87,31,13424.92912,6435.627206,29.07611983,1370.56366,17794.52712
88,28,27643.01161,1380.302485,86.86454689,744.7289326,17869.35621
89,94,55406.05382,4388.071848,169.6265488,1283.070735,19322.44318
90,3,0,8987.526029,70.5865882,578.8697294,19093.70278
91,93,124813.7115,1521.268037,168.2048181,130.8588201,19730.71002
92,32,42230.07957,1365.715237,122.6025579,1235.963219,18423.9426
93,65,58754.29451,16725.34339,218.7889077,322.7731584,19997.21729
94,29,31295.90282,23457.75846,275.2126091,349.2263306,19411.63114
95,97,135356.2819,9895.258633,124.256046,798.8315061,20771.23917
96,54,10696.31317,1690.255237,80.58133667,227.3237272,16997.05753
97,91,26806.74087,1033.363505,390.1024601,230.6063524,17810.28681
98,48,11229.63252,7547.104372,396.3668417,206.316762,17655.48716
99,76,82973.24679,12490.64558,155.2389295,215.3039072,20258.37087
100,56,84992.8394,1440.652131,328.6343141,120.7646744,19197.8259
101,99,21681.88519,9728.302687,142.3250461,543.8568982,18582.33753
102,56,190634.5109,4444.16226,143.9130068,479.3272588,20785.62739
103,4,26976.93186,5845.006389,245.365714,122.3235165,18599.69199
104,8,9105.399608,23767.60106,239.5895456,229.2880922,17965.72312
105,56,27413.62674,6138.748022,142.8765838,72.14529558,18594.03821
106,56,52053.14578,3609.449817,39.56420817,483.774975,19231.96284
107,15,28727.43835,5929.583508,190.9097869,741.9081651,18675.84957
108,68,349941.2632,38816.23224,198.2124713,120.1690243,22547.9537
109,60,85424.36562,11676.06602,289.3311136,956.2065031,20191.55191
110,30,205105.4341,4240.461379,65.07752993,414.3220001,20909.97045
111,76,145202.6226,2497.010269,183.1822477,145.1797912,20103.6631
112,4,6729.225415,1953.727635,143.4088903,364.6908945,16373.55698
113,68,24890.49775,6715.481321,192.6388791,306.1417191,18592.40847
114,59,2372.060613,5863.439544,281.8549334,518.6310011,15691.88164
115,91,19026.78998,6667.931635,353.3769564,1078.369351,18276.60823
116,14,110758.1479,5568.437759,275.5411079,124.9735508,20261.39185
117,67,15627.52254,4883.689997,107.9512117,1688.120653,17737.2949
118,78,19212.40728,1041.590523,137.2035265,361.8334352,17276.94147
119,34,50318.80623,3400.635252,159.0729019,254.4925476,19089.69995
120,99,79803.00993,12544.25437,190.9808315,1138.01444,20215.44394
121,86,25430.04469,2790.991272,350.350044,1492.122676,18169.06267
122,55,28118.63561,6722.258798,342.4652646,451.4366721,18725.17187
123,78,81550.82321,3406.043299,458.5922801,215.5215774,19578.48647
124,35,46819.66963,19199.86504,155.8787427,1423.702807,19879.12714
125,16,27301.94513,1223.530752,42.42557414,204.3881751,17824.00844
126,90,49736.95476,3489.581251,109.3286077,1319.378148,19079.60973
127,41,0,14133.19652,59.37175769,105.3687117,19520.95246
128,38,46846.56301,18554.43043,181.0931501,270.7575972,19749.45918
129,6,268667.862,5681.321941,48.07385913,-506.0866947,21267.85387
130,57,26763.44054,11056.15185,248.3571508,1705.889814,18867.25431
131,66,21167.8149,13119.91508,174.2825383,122.1366824,18682.71603
132,45,149287.7296,10071.5169,76.99121971,545.5261955,20880.85949
133,3,17931.23343,5209.517556,115.4629755,722.1744519,18070.38912
134,65,202782.5447,7300.797268,263.619606,104.1733719,21210.57847
135,49,29905.63472,5299.154856,204.1979461,2123.296982,18661.29848
136,6,39098.50532,8353.3698,201.4791125,1292.018838,19189.36471
137,35,75631.51052,2206.442408,358.1854852,121.2982982,19283.24208
138,73,122162.7798,2872.050276,157.925869,2171.651277,20066.96433
139,41,98419.93477,11099.25198,136.6614383,59.51400133,20380.02418
140,43,29624.72645,2535.582009,88.63162573,566.3699119,18368.74126
141,32,25174.10497,633.1214014,198.7052401,867.5006726,17384.46887
142,98,51404.07076,20593.49721,99.80413808,1389.696808,19992.78303
143,79,41552.75369,13815.34457,210.6671455,607.0406832,19551.65657
144,68,19105.41139,5322.147011,51.72036919,311.5554701,18140.52078
145,25,54760.70068,15198.83691,304.6804168,280.8614141,19859.43173
146,39,98136.98818,1504.798463,69.01883293,252.4606975,19459.83849
147,15,42894.83515,6288.30909,200.9454676,756.4037688,19128.62305
148,35,173511.5969,3682.148021,92.16547098,-1771.193174,20620.66159
149,84,54737.38057,2857.191192,224.9682737,401.656549,19155.77157
150,46,31075.87269,2895.020057,116.4438871,1381.377696,18392.47967
151,79,40143.46293,11294.64243,113.9955601,1751.723562,19439.6304
152,65,0,5755.927233,150.9120229,927.9286476,18169.94571
153,86,12948.07014,1677.310503,216.2237257,502.0479112,16989.34731
154,38,58485.17085,7184.39121,360.6987407,4106.061106,19593.35966
155,31,15471.41927,7446.872357,317.7982195,242.8170879,18008.15391
156,38,25379.77885,2058.153002,256.1408559,146.1328606,17976.47309
157,93,33216.43114,5485.632024,112.6915033,395.5471946,18822.0347
158,88,53375.34286,2062.417839,106.815093,769.502223,18986.40497
159,72,57593.32685,5618.151056,173.6721001,92.31160065,19409.43646
